nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_wrist_nose_dist,right_wrist_nose_dist,hands_near_face,label
0.457397,0.491303,-1.355734,0.9995,0.67886,0.754308,-0.516874,0.9953,0.24684,0.745113,-0.595149,0.9975,0.808487,1.003456,-0.465751,0.2595,0.117711,1.01906,-0.522069,0.5223,0.903547,1.478481,-0.863171,0.029,0.089398,1.490127,-0.936044,0.0755,0.594097,1.546589,-0.068185,0.0007,0.31824,1.544424,0.072256,0.0008,1.083314,1.064459,0,0
0.457416,0.491468,-1.351789,0.9995,0.67936,0.754324,-0.502647,0.9952,0.248904,0.744556,-0.534229,0.9975,0.808485,1.004559,-0.46003,0.2597,0.117537,1.016975,-0.456051,0.5219,0.898175,1.479186,-0.855921,0.0291,0.088239,1.485013,-0.905729,0.0754,0.594391,1.547593,-0.069056,0.0008,0.318347,1.544462,0.073271,0.0008,1.081598,1.059916,0,0
0.457418,0.491583,-1.34914,0.9995,0.679694,0.754328,-0.494946,0.9951,0.250243,0.74437,-0.517629,0.9974,0.808488,1.005093,-0.454771,0.2595,0.117295,1.015937,-0.438595,0.5204,0.895671,1.47953,-0.853762,0.0292,0.087428,1.482534,-0.893263,0.0752,0.594713,1.548374,-0.069638,0.0008,0.318503,1.544569,0.073953,0.0008,1.080789,1.057769,0,0
0.457639,0.491615,-1.347633,0.9995,0.681102,0.754779,-0.500096,0.9951,0.250396,0.744265,-0.521191,0.9974,0.808653,1.005139,-0.472103,0.254,0.117275,1.020082,-0.450668,0.5173,0.895731,1.477801,-0.891407,0.0284,0.088887,1.487713,-0.900494,0.0746,0.595747,1.54942,-0.069967,0.0008,0.318859,1.54604,0.074308,0.0008,1.079114,1.062162,0,0
0.457793,0.491627,-1.344827,0.9995,0.682056,0.755116,-0.50161,0.995,0.250587,0.744134,-0.526284,0.9974,0.808818,1.005181,-0.476315,0.2489,0.117193,1.022611,-0.456479,0.5145,0.895776,1.476507,-0.89995,0.0278,0.089771,1.490752,-0.904208,0.0741,0.596495,1.550147,-0.070194,0.0007,0.319152,1.547025,0.074556,0.0008,1.077876,1.064749,0,0
0.459263,0.491706,-1.264779,0.9995,0.682061,0.754589,-0.461122,0.995,0.250978,0.743596,-0.527607,0.9975,0.81129,1.00317,-0.395239,0.2474,0.115703,1.021323,-0.456877,0.5186,0.911744,1.470201,-0.731917,0.0273,0.086893,1.491019,-0.889223,0.0742,0.596274,1.550163,-0.070204,0.0007,0.319197,1.546904,0.074563,0.0007,1.078051,1.066436,0,0
0.460343,0.491759,-1.247546,0.9995,0.682064,0.754156,-0.449165,0.995,0.251212,0.743226,-0.52939,0.9975,0.812896,1.001795,-0.375316,0.2459,0.11474,1.020624,-0.459492,0.522,0.919037,1.466507,-0.705274,0.0268,0.085342,1.491416,-0.883261,0.0743,0.59612,1.550177,-0.070193,0.0007,0.319228,1.546842,0.074538,0.0007,1.077281,1.06768,0,0
0.460892,0.491769,-1.261607,0.9995,0.682108,0.754181,-0.447384,0.9951,0.251206,0.742881,-0.527282,0.9975,0.812312,1.002757,-0.374889,0.2461,0.114721,1.017551,-0.454442,0.5199,0.905131,1.477715,-0.736,0.0268,0.08267,1.488968,-0.868274,0.0738,0.593875,1.550622,-0.067628,0.0007,0.315657,1.546569,0.072098,0.0007,1.081406,1.066517,0,0
0.461316,0.491777,-1.268969,0.9995,0.682142,0.754245,-0.447179,0.9952,0.251206,0.742536,-0.522016,0.9975,0.812074,1.003266,-0.378178,0.2463,0.114678,1.014797,-0.447683,0.5185,0.900217,1.483236,-0.751351,0.027,0.080036,1.486858,-0.862203,0.0734,0.592451,1.551577,-0.067485,0.0007,0.313697,1.546558,0.071989,0.0007,1.084262,1.065627,0,0
0.461639,0.49179,-1.271891,0.9995,0.682074,0.753718,-0.458459,0.995,0.252108,0.742199,-0.522247,0.9975,0.813018,1.000174,-0.393089,0.2416,0.115193,1.014165,-0.450101,0.5192,0.901263,1.467317,-0.758979,0.0268,0.08299,1.48645,-0.868686,0.0746,0.592472,1.549739,-0.07272,0.0007,0.315334,1.544811,0.077074,0.0007,1.070011,1.064295,0,0
0.461989,0.491798,-1.300089,0.9995,0.682801,0.753699,-0.470751,0.9948,0.252525,0.7422,-0.525005,0.9974,0.812692,1.000204,-0.418063,0.2369,0.118918,1.015629,-0.458334,0.5205,0.901076,1.467396,-0.814607,0.0264,0.089433,1.489842,-0.89421,0.075,0.594272,1.549761,-0.073045,0.0007,0.317207,1.544959,0.077411,0.0007,1.069855,1.065313,0,0
0.462168,0.491813,-1.309499,0.9995,0.683179,0.753631,-0.474693,0.9946,0.252956,0.742188,-0.525383,0.9973,0.812503,1.000231,-0.42248,0.2326,0.121197,1.016097,-0.459373,0.5217,0.900284,1.4676,-0.82178,0.026,0.093343,1.490748,-0.898757,0.0752,0.595192,1.54975,-0.073407,0.0007,0.318322,1.544965,0.077777,0.0007,1.069629,1.064848,0,0
0.462845,0.491821,-1.282481,0.9995,0.683156,0.753091,-0.469669,0.9944,0.253218,0.74035,-0.53232,0.9974,0.812561,0.998397,-0.405453,0.2272,0.121142,1.016134,-0.468805,0.5219,0.903798,1.463555,-0.757414,0.0255,0.092854,1.490562,-0.890903,0.0755,0.594706,1.549602,-0.072741,0.0007,0.31806,1.54449,0.077049,0.0007,1.067102,1.065071,0,0
0.463409,0.491834,-1.277027,0.9995,0.683074,0.75262,-0.469051,0.9943,0.253362,0.739177,-0.53863,0.9974,0.81262,0.997091,-0.400356,0.2224,0.121101,1.016185,-0.474715,0.5223,0.906469,1.45995,-0.744153,0.025,0.092499,1.490484,-0.887865,0.076,0.594428,1.549411,-0.072662,0.0006,0.317939,1.54407,0.076948,0.0006,1.064683,1.065306,0,0
0.463423,0.491808,-1.285582,0.9995,0.683097,0.752617,-0.4846,0.9944,0.25325,0.739248,-0.551097,0.9974,0.812281,0.997954,-0.42704,0.221,0.121059,1.016228,-0.487415,0.5247,0.903392,1.465978,-0.781724,0.0243,0.092338,1.492078,-0.892856,0.0757,0.594965,1.549426,-0.072745,0.0006,0.318397,1.544284,0.07701,0.0006,1.068916,1.066886,0,0
0.46343,0.491792,-1.29434,0.9995,0.683116,0.752613,-0.493738,0.9944,0.25312,0.739332,-0.56074,0.9975,0.812043,0.998616,-0.440577,0.2197,0.12103,1.016341,-0.497165,0.5262,0.9015,1.470151,-0.802458,0.0236,0.092255,1.493587,-0.899115,0.0754,0.595528,1.549455,-0.072742,0.0006,0.318788,1.544547,0.077002,0.0006,1.071957,1.068346,0,0
0.463259,0.491833,-1.252957,0.9995,0.683007,0.752153,-0.451444,0.9944,0.253189,0.73932,-0.513924,0.9974,0.811436,0.998865,-0.39761,0.218,0.12141,1.014752,-0.434346,0.5231,0.897243,1.463575,-0.78048,0.0236,0.092142,1.484612,-0.847767,0.075,0.595655,1.549149,-0.072772,0.0006,0.319018,1.544301,0.077033,0.0006,1.064248,1.059876,0,0
0.463061,0.491858,-1.238647,0.9994,0.682919,0.75181,-0.437886,0.9944,0.253254,0.739283,-0.499612,0.9974,0.810951,0.999035,-0.382785,0.2163,0.121701,1.013463,-0.416489,0.5198,0.894568,1.459878,-0.768677,0.0236,0.092057,1.478931,-0.8298,0.0745,0.595742,1.548917,-0.072778,0.0006,0.319131,1.544075,0.077039,0.0006,1.05984,1.054494,0,0
0.46262,0.491863,-1.247288,0.9995,0.683259,0.752574,-0.44203,0.9945,0.253171,0.739417,-0.489501,0.9974,0.810847,1.001772,-0.386341,0.217,0.12117,1.014147,-0.410186,0.5193,0.896228,1.471655,-0.786569,0.0236,0.091994,1.479772,-0.835931,0.0744,0.596232,1.551078,-0.080871,0.0006,0.319636,1.54576,0.08526,0.0006,1.071452,1.055144,0,0
0.462243,0.492034,-1.250631,0.9995,0.683254,0.752987,-0.438791,0.9947,0.253136,0.739784,-0.504005,0.9975,0.811231,1.002681,-0.374478,0.2208,0.121838,1.014218,-0.431246,0.5141,0.900786,1.4716,-0.762925,0.0241,0.091963,1.479896,-0.848769,0.0734,0.596435,1.551063,-0.071693,0.0006,0.319926,1.545792,0.075948,0.0006,1.073252,1.054978,0,0
0.462,0.492184,-1.252579,0.9995,0.683253,0.753304,-0.438352,0.9949,0.253138,0.739967,-0.51188,0.9975,0.811512,1.003247,-0.369908,0.2241,0.122305,1.014234,-0.440333,0.5098,0.902971,1.471553,-0.751671,0.0245,0.091906,1.480201,-0.852699,0.0725,0.596589,1.55099,-0.067143,0.0007,0.320178,1.545781,0.071333,0.0007,1.074067,1.055057,0,0
0.460261,0.492393,-1.269678,0.9995,0.683287,0.753636,-0.474604,0.995,0.252622,0.74098,-0.517829,0.9975,0.810976,1.004544,-0.41944,0.2232,0.122207,1.01593,-0.445376,0.5105,0.902953,1.48031,-0.788476,0.0244,0.092168,1.485651,-0.853166,0.0723,0.597168,1.551679,-0.074165,0.0006,0.321251,1.547143,0.078347,0.0006,1.082569,1.059271,0,0
0.459012,0.492589,-1.277605,0.9995,0.683303,0.753824,-0.490162,0.9951,0.252424,0.741373,-0.522976,0.9976,0.810569,1.005397,-0.433408,0.223,0.122166,1.016773,-0.447597,0.5117,0.902947,1.484144,-0.794214,0.0243,0.09224,1.488287,-0.855124,0.0723,0.597376,1.551881,-0.078583,0.0006,0.321793,1.547541,0.082737,0.0006,1.086398,1.061101,0,0
0.45864,0.492607,-1.277521,0.9995,0.683053,0.753819,-0.487645,0.9951,0.252387,0.741176,-0.5267,0.9976,0.810674,1.004414,-0.429663,0.223,0.122155,1.016108,-0.449019,0.5131,0.905081,1.474756,-0.781743,0.0244,0.091625,1.48712,-0.856271,0.0729,0.596005,1.551833,-0.078254,0.0006,0.320984,1.547183,0.082385,0.0006,1.078855,1.060074,0,0
0.458337,0.492622,-1.27738,0.9995,0.682864,0.753816,-0.485825,0.995,0.252351,0.741011,-0.52892,0.9976,0.810787,1.003779,-0.426416,0.2229,0.12215,1.015671,-0.449965,0.5143,0.906503,1.469273,-0.774702,0.0246,0.091245,1.486383,-0.857089,0.0734,0.595087,1.55178,-0.078037,0.0006,0.320419,1.546867,0.08215,0.0006,1.07457,1.059395,0,0
0.458448,0.492627,-1.302871,0.9995,0.682263,0.753394,-0.495178,0.995,0.252325,0.740977,-0.542272,0.9976,0.810117,1.001727,-0.43296,0.2228,0.122141,1.015963,-0.458052,0.5163,0.902674,1.467733,-0.799222,0.0248,0.091152,1.487138,-0.859473,0.0744,0.594632,1.551291,-0.077957,0.0006,0.319828,1.546221,0.082075,0.0006,1.071527,1.060169,0,0
0.458537,0.492632,-1.309636,0.9995,0.681887,0.753157,-0.497713,0.9949,0.252286,0.740969,-0.547128,0.9975,0.809579,1.000531,-0.435541,0.2226,0.122134,1.016262,-0.461588,0.5178,0.900306,1.466839,-0.809731,0.0251,0.091101,1.487816,-0.860648,0.0753,0.594347,1.551056,-0.077882,0.0006,0.319396,1.545884,0.082003,0.0006,1.069691,1.060849,0,0
0.457963,0.49301,-1.311864,0.9995,0.682,0.752924,-0.500936,0.995,0.252133,0.740983,-0.557277,0.9976,0.809521,1.000677,-0.437691,0.2207,0.122496,1.018548,-0.467902,0.5198,0.902881,1.463009,-0.813008,0.0249,0.091232,1.4883,-0.861784,0.076,0.596964,1.550716,-0.077362,0.0006,0.320622,1.545814,0.081443,0.0006,1.067169,1.060705,0,0
0.457529,0.493291,-1.314214,0.9995,0.682111,0.752736,-0.506512,0.995,0.251999,0.741008,-0.56739,0.9976,0.809386,1.000718,-0.4425,0.2187,0.122883,1.020249,-0.474552,0.5209,0.90492,1.460152,-0.815024,0.0247,0.09139,1.48861,-0.862118,0.0763,0.59866,1.550463,-0.076933,0.0006,0.321297,1.54575,0.080983,0.0006,1.065354,1.060527,0,0
0.457805,0.493187,-1.334302,0.9995,0.682121,0.752793,-0.508561,0.995,0.251804,0.741071,-0.56512,0.9976,0.808585,1.0009,-0.441194,0.2143,0.122727,1.019514,-0.466802,0.518,0.900627,1.461785,-0.812958,0.0246,0.091757,1.488409,-0.863478,0.0755,0.59961,1.549806,-0.079321,0.0006,0.321397,1.545717,0.083344,0.0006,1.065023,1.060406,0,0
0.458861,0.493342,-1.344877,0.9995,0.681712,0.752857,-0.508062,0.9946,0.251818,0.740534,-0.575435,0.9975,0.808616,1.000911,-0.440358,0.2165,0.122945,1.01947,-0.475829,0.5166,0.897286,1.456392,-0.805953,0.0243,0.092349,1.48846,-0.864567,0.0746,0.595667,1.545721,-0.073679,0.0006,0.319125,1.541314,0.077605,0.0006,1.05815,1.060468,0,0
0.459713,0.493433,-1.346175,0.9994,0.681463,0.752917,-0.506953,0.9942,0.251916,0.739705,-0.579212,0.9974,0.808626,1.000889,-0.436979,0.2189,0.123113,1.01876,-0.477724,0.5155,0.894436,1.452285,-0.796292,0.024,0.092674,1.487021,-0.864336,0.0738,0.593483,1.54236,-0.069558,0.0006,0.317679,1.537415,0.073411,0.0006,1.052797,1.059214,0,0
0.459723,0.491345,-1.34761,0.9993,0.682555,0.752157,-0.506338,0.9939,0.252184,0.739103,-0.587343,0.9971,0.838474,0.990663,-0.422273,0.2278,0.118148,1.015023,-0.50239,0.5141,0.958875,1.425974,-0.746491,0.025,0.086043,1.486977,-0.87748,0.0732,0.593741,1.542395,-0.066965,0.0007,0.317747,1.537481,0.070817,0.0007,1.059567,1.063447,0,0
0.460874,0.487769,-1.372389,0.9993,0.683954,0.744992,-0.565246,0.9942,0.254033,0.735163,-0.638565,0.9972,0.867918,0.971962,-0.489154,0.2503,0.118042,1.010729,-0.552484,0.5141,0.984214,1.368738,-0.822104,0.0283,0.084937,1.476683,-0.890864,0.0734,0.594055,1.529717,-0.066793,0.0007,0.318932,1.529336,0.07058,0.0007,1.024691,1.05796,0,0
0.461206,0.486153,-1.405475,0.9993,0.684511,0.740621,-0.597302,0.9945,0.2544,0.733507,-0.683933,0.9972,0.874099,0.965115,-0.507023,0.2676,0.118134,1.010322,-0.601303,0.5117,0.996358,1.359549,-0.82809,0.0316,0.084251,1.476849,-0.927564,0.0736,0.59484,1.522905,-0.065995,0.0007,0.319916,1.526121,0.069664,0.0007,1.024309,1.059988,0,0
0.463402,0.476919,-1.326512,0.9993,0.687632,0.731781,-0.534035,0.9948,0.255845,0.731026,-0.60717,0.9973,0.88695,0.958634,-0.47501,0.2794,0.118179,1.010096,-0.532449,0.5187,1.009012,1.348066,-0.826112,0.0339,0.095407,1.473095,-0.863453,0.0751,0.604527,1.522234,-0.067603,0.0007,0.328377,1.526459,0.071531,0.0007,1.027904,1.061973,0,0
0.464413,0.474426,-1.320207,0.9993,0.689299,0.728525,-0.529383,0.9951,0.25695,0.728595,-0.59942,0.9973,0.893067,0.959207,-0.471137,0.2935,0.118899,1.009652,-0.517407,0.5237,1.014394,1.354631,-0.81071,0.0353,0.096255,1.471512,-0.848489,0.0752,0.606219,1.522187,-0.067765,0.0007,0.330042,1.526323,0.071726,0.0007,1.037901,1.062883,0,0
0.464507,0.465921,-1.357839,0.9993,0.693714,0.727149,-0.553883,0.995,0.258827,0.726281,-0.607543,0.9973,0.899459,0.960099,-0.467467,0.3006,0.118852,1.007877,-0.522914,0.5294,1.031265,1.351882,-0.785241,0.0364,0.096148,1.471713,-0.851899,0.0754,0.615134,1.522012,-0.069507,0.0008,0.335176,1.525588,0.073386,0.0007,1.051732,1.071124,0,0
